Ja,Tc_mc,Tc_mc_lo,Tc_mc_hi
0,3.707896513,3.682896513,3.732896513
0.225,3.701464875,3.676464875,3.726464875
0.45,3.659985409,3.634985409,3.684985409
0.675,3.579671971,3.554671971,3.604671971
0.9,3.472229003,3.447229003,3.497229003
1.125,3.312439782,3.287439782,3.337439782
1.35,3.090130661,3.065130661,3.115130661
1.575,2.764947592,2.739947592,2.789947592
1.8,2.242925654,2.217925654,2.267925654
2.025,0.6875029842,0.65,0.7125029842
2.25,2.65,2.625,2.675
2.475,3.488479997,3.463341523,3.513479997
2.7,4.187003599,4.144400751,4.212003599
2.925,4.826073784,4.797018019,4.851073784
3.15,5.453569078,5.41326853,5.478569078
3.375,5.953569078,5.928569078,5.978569078
3.6,5.953569078,5.928569078,5.978569078
3.825,5.953569078,5.928569078,5.978569078
4.05,5.953569078,5.928569078,5.978569078
4.275,5.953569078,5.928569078,5.978569078
4.5,5.953569078,5.928569078,5.978569078
